Episode,AverageReward
1,0.187446
2,0.185754
3,0.194848
4,0.208311
5,0.233412
6,0.225256
7,0.219995
8,0.236672
9,0.239812
10,0.227217
11,0.269730
12,0.272440
13,0.262316
14,0.270073
15,0.259178
16,0.278352
17,0.281119
18,0.266873
19,0.293221
20,0.298803
21,0.271221
22,0.293237
23,0.294761
24,0.295334
25,0.309637
26,0.297701
27,0.288422
28,0.303041
29,0.308280
30,0.314025
31,0.342814
32,0.300272
33,0.321567
34,0.343240
35,0.307724
36,0.341134
37,0.322128
38,0.339057
39,0.342235
40,0.334312
41,0.323872
42,0.350987
43,0.334240
44,0.332094
45,0.347613
46,0.331887
47,0.347731
48,0.315771
49,0.346261
50,0.342658
